Date,AvgTemperature_F
2010-01-01,32.7
2010-01-02,31.7
2010-01-03,29.9
2010-01-04,23.6
2010-01-05,27.0
2010-01-06,25.7
2010-01-07,25.0
2010-01-08,22.9
2010-01-09,28.5
2010-01-10,30.5
2010-01-11,31.3
2010-01-12,32.0
2010-01-13,34.5
2010-01-14,36.8
2010-01-15,37.3
2010-01-16,40.5
2010-01-17,45.7
2010-01-18,39.4
2010-01-19,35.9
2010-01-20,36.5
2010-01-21,40.0
2010-01-22,42.3
2010-01-23,39.3
2010-01-24,39.7
2010-01-25,38.0
2010-01-26,31.1
2010-01-27,28.8
2010-01-28,39.5
2010-01-29,39.6
2010-01-30,32.5
2010-01-31,33.2
2010-02-01,35.1
2010-02-02,40.1
2010-02-03,47.9
2010-02-04,44.6
2010-02-05,47.0
2010-02-06,43.1
2010-02-07,39.6
2010-02-08,36.7
2010-02-09,30.0
2010-02-10,28.7
2010-02-11,27.6
2010-02-12,27.6
2010-02-13,26.9
2010-02-14,30.8
2010-02-15,32.6
2010-02-16,30.9
2010-02-17,35.5
2010-02-18,42.2
2010-02-19,40.9
2010-02-20,38.0
2010-02-21,39.4
2010-02-22,49.7
2010-02-23,51.6
2010-02-24,48.4
2010-02-25,50.1
2010-02-26,48.0
2010-02-27,47.3
2010-02-28,46.9
2010-03-01,43.3
2010-03-02,44.6
2010-03-03,40.7
2010-03-04,39.3
2010-03-05,35.6
2010-03-06,37.4
2010-03-07,32.5
2010-03-08,33.7
2010-03-09,33.3
2010-03-10,39.6
2010-03-11,35.2
2010-03-12,36.8
2010-03-13,42.0
2010-03-14,43.0
2010-03-15,45.9
2010-03-16,45.3
2010-03-17,49.4
2010-03-18,54.8
2010-03-19,59.7
2010-03-20,58.4
2010-03-21,50.1
2010-03-22,49.9
2010-03-23,51.1
2010-03-24,56.6
2010-03-25,57.0
2010-03-26,51.4
2010-03-27,49.4
2010-03-28,51.7
2010-03-29,56.2
2010-03-30,49.8
2010-03-31,45.5
2010-04-01,45.4
2010-04-02,45.9
2010-04-03,47.8
2010-04-04,46.3
2010-04-05,46.2
2010-04-06,54.5
2010-04-07,52.9
2010-04-08,50.7
2010-04-09,51.4
2010-04-10,52.3
2010-04-11,47.2
2010-04-12,46.7
2010-04-13,51.3
2010-04-14,49.8
2010-04-15,51.3
2010-04-16,49.3
2010-04-17,49.6
2010-04-18,55.2
2010-04-19,55.3
2010-04-20,52.6
2010-04-21,49.9
2010-04-22,49.7
2010-04-23,53.1
2010-04-24,57.6
2010-04-25,60.5
2010-04-26,55.2
2010-04-27,56.5
2010-04-28,63.6
2010-04-29,67.9
2010-04-30,58.3
2010-05-01,55.8
2010-05-02,52.8
2010-05-03,45.7
2010-05-04,47.7
2010-05-05,47.7
2010-05-06,49.7
2010-05-07,48.5
2010-05-08,52.6
2010-05-09,54.8
2010-05-10,52.4
2010-05-11,43.8
2010-05-12,45.5
2010-05-13,46.1
2010-05-14,48.8
2010-05-15,52.9
2010-05-16,54.3
2010-05-17,56.6
2010-05-18,54.9
2010-05-19,57.0
2010-05-20,60.1
2010-05-21,63.8
2010-05-22,65.0
2010-05-23,67.1
2010-05-24,71.6
2010-05-25,70.1
2010-05-26,62.7
2010-05-27,58.6
2010-05-28,58.7
2010-05-29,58.7
2010-05-30,59.4
2010-05-31,56.7
2010-06-01,56.6
2010-06-02,61.2
2010-06-03,64.9
2010-06-04,69.9
2010-06-05,72.9
2010-06-06,67.3
2010-06-07,64.7
2010-06-08,67.4
2010-06-09,63.2
2010-06-10,66.3
2010-06-11,70.6
2010-06-12,62.8
2010-06-13,59.0
2010-06-14,61.0
2010-06-15,62.0
2010-06-16,62.1
2010-06-17,61.7
2010-06-18,60.6
2010-06-19,55.2
2010-06-20,53.6
2010-06-21,56.4
2010-06-22,62.9
2010-06-23,67.2
2010-06-24,69.9
2010-06-25,70.0
2010-06-26,73.5
2010-06-27,76.4
